sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,sepal_area,petal_area,petal_ratio,sepal_petal_length_ratio
5.1,3.8,1.9,0.4,0,19.38,0.76,4.749988125029687,2.6842091135741506
4.8,3.0,1.4,0.3,0,14.399999999999999,0.42,4.666651111162963,3.428568979593586
5.1,3.8,1.6,0.2,0,19.38,0.32000000000000006,7.999960000199999,3.187498007813745
4.6,3.2,1.4,0.2,0,14.719999999999999,0.27999999999999997,6.999965000174998,3.2857119387771867
5.3,3.7,1.5,0.2,0,19.61,0.30000000000000004,7.4999625001874985,3.533330977779348
5.0,3.3,1.4,0.2,0,16.5,0.27999999999999997,6.999965000174998,3.571426020409986
7.0,3.2,4.7,1.4,1,22.400000000000002,6.58,3.357140459185387,1.4893613852422583
6.4,3.2,4.5,1.5,1,20.480000000000004,6.75,2.9999980000013333,1.4222219061729098
6.9,3.1,4.9,1.5,1,21.39,7.3500000000000005,3.266664488890341,1.4081629779259228
5.5,2.3,4.0,1.3,1,12.649999999999999,5.2,3.0769207100609925,1.374999656250086
6.5,2.8,4.6,1.5,1,18.2,6.8999999999999995,3.066664622223585,1.4130431710775715
5.7,2.8,4.5,1.3,1,15.959999999999999,5.8500000000000005,3.4615357988186166,1.2666663851852478
6.3,3.3,4.7,1.6,1,20.79,7.5200000000000005,2.9374981640636477,1.3404252467180324
4.9,2.4,3.3,1.0,1,11.76,3.3,3.2999967000033,1.484848034894535
6.6,2.9,4.6,1.3,1,19.139999999999997,5.9799999999999995,3.5384588165701407,1.4347822967864572
5.2,2.7,3.9,1.4,1,14.040000000000001,5.46,2.785712295919789,1.3333329914530792
5.0,2.0,3.5,1.0,1,10.0,3.5,3.4999965000035003,1.4285710204082798
5.9,3.0,4.2,1.5,1,17.700000000000003,6.300000000000001,2.799998133334578,1.4047615702948641
6.0,2.2,4.0,1.0,1,13.200000000000001,4.0,3.9999960000040002,1.4999996250000938
6.1,2.9,4.7,1.4,1,17.689999999999998,6.58,3.357140459185387,1.2978720642825394
5.6,2.9,3.6,1.3,1,16.24,4.680000000000001,2.769228639054893,1.55555512345691
6.7,3.1,4.4,1.4,1,20.77,6.16,3.1428548979607878,1.522726926652971
5.6,3.0,4.5,1.5,1,16.799999999999997,6.75,2.9999980000013333,1.2444441679012959
5.8,2.7,4.1,1.0,1,15.66,4.1,4.0999959000041,1.4146338013088289
6.2,2.2,4.5,1.5,1,13.640000000000002,6.75,2.9999980000013333,1.3777774716050064
5.6,2.5,3.9,1.1,1,14.0,4.29,3.5454513223169797,1.4358970677187004
5.9,3.2,4.8,1.8,1,18.880000000000003,8.64,2.6666651851860084,1.2291664105903313
6.1,2.8,4.0,1.3,1,17.08,5.2,3.0769207100609925,1.5249996187500952
6.3,2.5,4.9,1.5,1,15.75,7.3500000000000005,3.266664488890341,1.2857140233236686
6.1,2.8,4.7,1.2,1,17.08,5.64,3.916663402780498,1.2978720642825394
6.4,2.9,4.3,1.3,1,18.56,5.59,3.3076897633155666,1.4883717468902915
6.6,3.0,4.4,1.4,1,19.799999999999997,6.16,3.1428548979607878,1.4999996590909863
6.8,2.8,4.8,1.4,1,19.04,6.72,3.428568979593586,1.4166663715278391
6.7,3.0,5.0,1.7,1,20.1,8.5,2.941174740485447,1.3399997320000536
6.0,2.9,4.5,1.5,1,17.4,6.75,2.9999980000013333,1.3333330370371028
5.7,2.6,3.5,1.0,1,14.82,3.5,3.4999965000035003,1.628570963265439
5.5,2.4,3.8,1.1,1,13.2,4.18,3.4545423140524414,1.4473680401663052
5.5,2.4,3.7,1.0,1,13.2,3.7,3.6999963000037006,1.4864860847334904
5.8,2.7,3.9,1.2,1,15.66,4.68,3.2499972916689237,1.4871791058515114
6.0,2.7,5.1,1.6,1,16.200000000000003,8.16,3.187498007813745,1.1764703575548319
5.4,3.0,4.5,1.5,1,16.200000000000003,6.75,2.9999980000013333,1.1999997333333927
6.0,3.4,4.5,1.6,1,20.4,7.2,2.8124982421885987,1.3333330370371028
6.7,3.1,4.7,1.5,1,20.77,7.050000000000001,3.1333312444458374,1.4255316115890186
6.3,2.3,4.4,1.3,1,14.489999999999998,5.720000000000001,3.384612781067092,1.4318178564050323
5.6,3.0,4.1,1.3,1,16.799999999999997,5.33,3.153843727812517,1.3658533254016278
5.5,2.5,4.0,1.3,1,13.75,5.2,3.0769207100609925,1.374999656250086
5.5,2.6,4.4,1.2,1,14.3,5.28,3.666663611113658,1.2499997159091554
6.1,3.0,4.6,1.4,1,18.299999999999997,6.4399999999999995,3.2857119387771867,1.3260866682420287
5.8,2.6,4.0,1.2,1,15.08,4.8,3.3333305555578705,1.4499996375000905
5.0,2.3,3.3,1.0,1,11.5,3.3,3.2999967000033,1.5151510560148316
5.6,2.7,4.2,1.3,1,15.12,5.460000000000001,3.230766745564042,1.3333330158730912
5.7,3.0,4.2,1.2,1,17.1,5.04,3.4999970833357645,1.3571425340136822
5.7,2.9,4.2,1.3,1,16.53,5.460000000000001,3.230766745564042,1.3571425340136822
6.2,2.9,4.3,1.3,1,17.98,5.59,3.3076897633155666,1.4418601297999698
5.1,2.5,3.0,1.1,1,12.75,3.3000000000000003,2.727270247936138,1.699999433333522
5.7,2.8,4.1,1.3,1,15.959999999999999,5.33,3.153843727812517,1.3902435633552286
6.3,3.3,6.0,2.5,2,20.79,15.0,2.3999990400003837,1.049999825000029
5.8,2.7,5.1,1.9,2,15.66,9.69,2.6842091135741506,1.1372546789696707
7.1,3.0,5.9,2.1,2,21.299999999999997,12.39,2.8095224716559657,1.2033896265441308
6.3,2.9,5.6,1.8,2,18.27,10.08,3.1111093827170095,1.1249997991071787
6.5,3.0,5.8,2.2,2,19.5,12.76,2.6363624380170734,1.1206894619500927
7.6,3.0,6.6,2.1,2,22.799999999999997,13.86,3.1428556462592154,1.1515149770431852
4.9,2.5,4.5,1.7,2,12.25,7.6499999999999995,2.647057266436902,1.088888646913634
7.3,2.9,6.3,1.8,2,21.169999999999998,11.34,3.499998055556636,1.158729974804766
6.7,2.5,5.8,1.8,2,16.75,10.44,3.22222043209976,1.1551722146254804
7.2,3.6,6.1,2.5,2,25.92,15.25,2.43999902400039,1.180327675356119
6.5,3.2,5.1,2.0,2,20.8,10.2,2.5499987250006373,1.2745095540177345
6.4,2.7,5.3,1.9,2,17.28,10.069999999999999,2.7894722160672547,1.207546941972275
6.8,3.0,5.5,2.1,2,20.4,11.55,2.6190463718826797,1.2363634115702888
5.7,2.5,5.0,2.0,2,14.25,10.0,2.499998750000625,1.1399997720000457
5.8,2.8,5.1,2.4,2,16.24,12.239999999999998,2.124999114583702,1.1372546789696707
6.4,3.2,5.3,2.3,2,20.480000000000004,12.19,2.304346824197033,1.207546941972275
6.5,3.0,5.5,1.8,2,19.5,9.9,3.0555538580256343,1.1818179669421878
7.7,3.8,6.7,2.2,2,29.259999999999998,14.740000000000002,3.0454531611576536,1.1492535598129014
7.7,2.6,6.9,2.3,2,20.02,15.87,2.9999986956527414,1.1159418672548018
6.0,2.2,5.0,1.5,2,13.200000000000001,7.5,3.3333311111125927,1.199999760000048
6.9,3.2,5.7,2.3,2,22.080000000000002,13.11,2.47825979206096,1.2105261034164732
5.6,2.8,4.9,2.0,2,15.679999999999998,9.8,2.4499987750006125,1.1428569096210386
7.7,2.8,6.7,2.0,2,21.56,13.4,3.349998325000837,1.1492535598129014
6.3,2.7,4.9,1.8,2,17.01,8.82,2.7222207098773836,1.2857140233236686
6.7,3.3,5.7,2.1,2,22.11,11.97,2.7142844217693227,1.1754383902739667
7.2,3.2,6.0,1.8,2,23.040000000000003,10.8,3.3333314814825106,1.1999998000000334
6.2,2.8,4.8,1.8,2,17.36,8.64,2.6666651851860084,1.2916663975695006
6.1,3.0,4.9,1.8,2,18.299999999999997,8.82,2.7222207098773836,1.244897705122917
6.4,2.8,5.6,2.1,2,17.919999999999998,11.76,2.666665396826001,1.1428569387755467
7.2,3.0,5.8,1.6,2,21.6,9.28,3.6249977343764157,1.241379096313949
7.4,2.8,6.1,1.9,2,20.72,11.589999999999998,3.2105246260396707,1.2131145552271223
7.9,3.8,6.4,2.0,2,30.02,12.8,3.1999984000008,1.2343748071289364
6.4,2.8,5.6,2.2,2,17.919999999999998,12.32,2.5454533884302775,1.1428569387755467
6.3,2.8,5.1,1.5,2,17.639999999999997,7.6499999999999995,3.3999977333348443,1.2352938754325735
6.1,2.6,5.6,1.4,2,15.86,7.839999999999999,3.999997142859184,1.089285519770443
7.7,3.0,6.1,2.3,2,23.1,14.029999999999998,2.6521727599248868,1.2622948750336271
6.3,3.4,5.6,2.4,2,21.419999999999998,13.44,2.333332361111516,1.1249997991071787
6.4,3.1,5.5,1.8,2,19.840000000000003,9.9,3.0555538580256343,1.1636361520661542
6.0,3.0,4.8,1.8,2,18.0,8.64,2.6666651851860084,1.2499997395833875
6.9,3.1,5.4,2.1,2,21.39,11.340000000000002,2.5714273469393585,1.2777775411523071
6.7,3.1,5.6,2.4,2,20.77,13.44,2.333332361111516,1.1964283577806505
6.9,3.1,5.1,2.3,2,21.39,11.729999999999999,2.2173903402650694,1.3529409111880568
6.8,3.2,5.9,2.3,2,21.76,13.57,2.5652162759929236,1.152542177535224
6.7,3.3,5.7,2.5,2,22.11,14.25,2.279999088000365,1.1754383902739667
6.7,3.0,5.2,2.3,2,20.1,11.959999999999999,2.2608685822310512,1.288461290680521
6.3,2.5,5.0,1.9,2,15.75,9.5,2.631577562327599,1.2599997480000504
6.5,3.0,5.2,2.0,2,19.5,10.4,2.5999987000006497,1.2499997596154309
6.2,3.4,5.4,2.3,2,21.08,12.42,2.347825066163015,1.14814793552816
5.9,3.0,5.1,1.8,2,17.700000000000003,9.18,2.8333317592601337,1.1568625182622514
